batchsize,cbor,lzma,zlib,lz4,zstd,brotli
1, 61, 1.9672131147540983, 1.180327868852459, 1.3770491803278688, 1.1475409836065573, 1.0655737704918034
2, 105, 1.5238095238095237, 0.9904761904761905, 1.1523809523809523, 1.019047619047619, 1.0380952380952382
3, 149, 1.2885906040268456, 0.87248322147651, 1.0067114093959733, 0.8993288590604027, 1.0268456375838926
4, 201, 1.1343283582089552, 0.845771144278607, 0.9651741293532339, 0.8606965174129353, 1.0199004975124377
5, 253, 1.0276679841897234, 0.8102766798418972, 0.9090909090909091, 0.8142292490118577, 0.8379446640316206
6, 305, 0.9442622950819672, 0.7540983606557377, 0.8524590163934426, 0.7573770491803279, 0.7540983606557377
7, 373, 0.868632707774799, 0.7238605898123325, 0.806970509383378, 0.7265415549597856, 0.8042895442359249
8, 425, 0.8188235294117647, 0.6941176470588235, 0.7741176470588236, 0.6941176470588235, 0.7741176470588236
9, 477, 0.779874213836478, 0.6687631027253669, 0.750524109014675, 0.6645702306079665, 0.7442348008385744
10, 529, 0.7485822306238186, 0.6465028355387523, 0.722117202268431, 0.6446124763705104, 0.6257088846880907
20, 1073, 0.6076421248835042, 0.5778191985088537, 0.6393289841565704, 0.5368126747437092, 0.5330848089468779
30, 1618, 0.553770086526576, 0.5519159456118665, 0.6069221260815822, 0.49752781211372066, 0.49876390605686033
40, 2138, 0.5275958840037418, 0.5364826941066417, 0.5930776426566885, 0.4784845650140318, 0.4855004677268475
50, 2674, 0.5115931189229619, 0.5239341810022439, 0.5841436050860135, 0.47157816005983544, 0.47756170531039643
60, 3210, 0.49595015576323986, 0.5096573208722741, 0.5750778816199377, 0.4585669781931464, 0.464797507788162
70, 3706, 0.48354020507285483, 0.49865083648138153, 0.5658391797085807, 0.45143011332973554, 0.45493793847814357
80, 4234, 0.4733112895606991, 0.4943316013226264, 0.5590458195559754, 0.4456778460085026, 0.45299952763344353
90, 4722, 0.46675137653536636, 0.48941126641253707, 0.5535789919525624, 0.44260906395595084, 0.4430326132994494
100, 5226, 0.46000765403750477, 0.48392652123995405, 0.548603138155377, 0.4393417527745886, 0.43857634902411025
110, 5770, 0.45684575389948007, 0.481629116117851, 0.5454072790294627, 0.43830155979202773, 0.43795493934142116
120, 6306, 0.452267681573105, 0.47922613384078655, 0.5431335236282905, 0.43688550586742786, 0.43450681890263243
130, 6890, 0.4493468795355588, 0.4798258345428157, 0.5436865021770683, 0.4358490566037736, 0.4332365747460087
140, 7442, 0.44665412523515186, 0.47863477559795753, 0.5427304488040849, 0.4345606019887127, 0.4328137597420048
150, 7938, 0.4439405391786344, 0.47694633408919124, 0.5399344923154447, 0.4323507180650038, 0.4289493575207861
160, 8458, 0.4402932135256562, 0.473870891463703, 0.5373610782690943, 0.43012532513596596, 0.42575076850319227
170, 8986, 0.4389049632762074, 0.4734030714444692, 0.5367237925662142, 0.4296683730247051, 0.42566214110839085
180, 9546, 0.4378797402053216, 0.47297297297297297, 0.5359312801173266, 0.4290802430337314, 0.42447098261051747
190, 10122, 0.43627741553052757, 0.4726338668247382, 0.5356648883619838, 0.4284726338668247, 0.42382928275044457
200, 10626, 0.4329004329004329, 0.47063805759457933, 0.5327498588368154, 0.4264069264069264, 0.42160737812911725
