"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"2477562",2020-07-18 01:27:00,463088,0.0128,150198.684890625,10625,75.66024,-69.615395,"0","mof_rts_00013",0.27742867640336,2020-07-18 03:27:00,"time_drift",0.0361325740814209,"A",27
"2481546",2020-07-18 01:27:00,282592,0.0096,150198.551125,10625,74.539497,-72.064667,"1","mof_rts_00013",0.14366305139265,2020-07-18 03:27:00,"time_drift",0.103669166564941,"A",27
"2485123",2020-07-18 01:27:00,70208,0.0096,150198.75,3125,55.613453,-68.493034,"2","mof_rts_00013",0.342538051394513,2020-07-18 03:27:00,"time_drift",0.215030908584595,"A",27
"2488024",2020-07-18 01:27:00,458992,0.0096,150199.270828125,1875,48.299149,-69.37262,"3","mof_rts_00013",0.86336617640336,2020-07-18 03:27:00,"time_drift",0.048004150390625,"A",27
"2488025",2020-07-18 01:27:00,459232,0.0096,150199.21875,1250,48.065941,-67.545258,"3","mof_rts_00013",0.811288051394513,2020-07-18 03:27:00,"time_drift",0.0252234935760498,"A",27
"2477563",2020-07-18 01:27:01,466000,0.0128,150197.848828125,10625,75.02639,-69.615395,"0","mof_rts_00013",0.558633823617129,2020-07-18 03:27:01,"time_drift",0.0361363887786865,"A",27
"2481547",2020-07-18 01:27:01,285504,0.0096,150198.687492188,5000,63.908035,-72.064667,"1","mof_rts_00013",0.280030239402549,2020-07-18 03:27:01,"time_drift",0.00190091133117676,"A",27
"2488026",2020-07-18 01:27:01,460320,0.0096,150198.229164062,8124.999512,71.682213,-66.570961,"3","mof_rts_00013",0.178297886595828,2020-07-18 03:27:01,"time_drift",0.101767301559448,"A",27
"2485124",2020-07-18 01:27:01,73120,0.0096,150198.645828125,4375,62.77998,-68.493034,"2","mof_rts_00013",0.23836617640336,2020-07-18 03:27:01,"time_drift",0.0902340412139893,"A",27
"2488027",2020-07-18 01:27:01,461312,0.016,150199.107132812,1875,48.937706,-66.570961,"3","mof_rts_00013",0.699670863396023,2020-07-18 03:27:01,"time_drift",0.0767974853515625,"A",27
"2488028",2020-07-18 01:27:01,461664,0.0096,150198.906242188,3125,50.089565,-67.545258,"3","mof_rts_00013",0.498780239402549,2020-07-18 03:27:01,"time_drift",0.121227979660034,"A",27
"2488029",2020-07-18 01:27:01,462320,0.0096,150198.270828125,7500,71.834152,-66.570961,"3","mof_rts_00013",0.13663382359664,2020-07-18 03:27:01,"time_drift",0.144366264343262,"A",27
"2477564",2020-07-18 01:27:01,468896,0.0096,150198.4375,5000,63.466152,-69.615395,"0","mof_rts_00013",0.0300380513945129,2020-07-18 03:27:01,"time_drift",0.0329320430755615,"A",27
"2481548",2020-07-18 01:27:01,288400,0.0096,150198.430226562,10625,74.973145,-72.064667,"1","mof_rts_00013",0.0227646133862436,2020-07-18 03:27:01,"time_drift",0.0595028400421143,"A",27
"2488030",2020-07-18 01:27:01,463504,0.0096,150199.270828125,1875,48.639347,-67.545258,"3","mof_rts_00013",0.86336617640336,2020-07-18 03:27:01,"time_drift",0.0441644191741943,"A",27
"2485125",2020-07-18 01:27:01,76016,0.0096,150198.345585938,3750,60.401714,-68.493034,"2","mof_rts_00013",0.0618760106153786,2020-07-18 03:27:01,"time_drift",0.0166342258453369,"A",27
"2488031",2020-07-18 01:27:01,463808,0.0096,150198.185484375,8750,72.084991,-66.570961,"3","mof_rts_00013",0.221977573615732,2020-07-18 03:27:01,"time_drift",0.394582986831665,"A",27
"2477565",2020-07-18 01:27:02,471808,0.0096,150198.4375,6250,67.040848,-69.615395,"0","mof_rts_00013",0.0300380513945129,2020-07-18 03:27:02,"time_drift",0.0297353267669678,"A",27
"2481549",2020-07-18 01:27:02,291296,0.0096,150198.11140625,11250,74.354492,-72.064667,"1","mof_rts_00013",0.296055698592681,2020-07-18 03:27:02,"time_drift",0.106866836547852,"A",27
"2485126",2020-07-18 01:27:02,78928,0.0096,150198.552632812,4375,62.258022,-68.493034,"2","mof_rts_00013",0.145170863397652,2020-07-18 03:27:02,"time_drift",0.154306650161743,"A",27
"2477566",2020-07-18 01:27:02,474720,0.0096,150198.3035625,10000,75.671661,-69.615395,"0","mof_rts_00013",0.103899448615266,2020-07-18 03:27:02,"time_drift",0.026538610458374,"A",27
"2481550",2020-07-18 01:27:02,294192,0.0096,150198.125,8124.999512,71.92276,-72.064667,"1","mof_rts_00013",0.282461948605487,2020-07-18 03:27:02,"time_drift",0.107499361038208,"A",27
